heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;11;50words;1.0;[0.42319, 0.89246, 0.78214, 0.82483, 1.0293, 1.2135];20,77525;13;12,33333333;-439,3333333;-97,2694%;20,44414667;29,8659%
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;11;50words;1.0;[0.65994, 0.99568, 0.89246, 0.78214, 0.65608, 0.33847, 1.0293, 1.2135];19,125096;121;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;11;50words;1.0;[0.42319, 1.1037, 0.87865, 1.0726, 1.2386, 0.65608, 1.4852, 1.2135];19,314856;123;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;11;50words;1.0;[1.1037, 0.99568, 0.78214, 0.65608, 0.39387, 0.33847, 0.82483, 1.0293, 1.2135];18,915934;125;123;-328,6666667;-72,7675%;19,11862867;21,4459%
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;3;11;50words;1.0;[0.42319, 0.65994, 0.99568, 1.0726, 0.78214, 0.65608, 1.4852, 1.5787, 1.2135];18,181176;1298;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;3;11;50words;1.0;[0.42319, 0.65994, 0.89246, 1.2386, 0.39387, 0.60983, 0.82483, 1.733, 1.2135];18,813006;1296;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 1.0726, 0.78214, 1.3741, 0.50658, 0.60983, 1.0293];18,494316;1273;1289;837,3333333;185,3875%;18,496166;17,4919%
Random Buckets MSM-Mean: bucketsize:5, rand:10000;3;11;50words;1.0;[0.42319, 1.1037, 0.99568, 1.0726, 1.3741, 0.39387, 0.60983, 1.8066];21,409586;10;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;3;11;50words;1.0;[1.2245, 0.89246, 0.65608, 0.50658, 0.82483, 1.0293, 1.8066];21,60847;10;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;3;11;50words;1.0;[1.2245, 0.65994, 0.89246, 0.50658, 0.60983, 1.0293, 1.2135];20,62221;10;10;-441,6666667;-97,7860%;21,213422;34,7525%
Random Buckets MSM-Mean: bucketsize:5, rand:100000;3;11;50words;1.0;[1.2245, 1.1037, 0.87865, 0.89246, 0.65608, 0.50658, 0.82483, 1.0293, 1.8066];19,142266;105;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;3;11;50words;1.0;[0.42319, 0.78214, 0.65608, 0.50658, 0.33847, 1.0293, 1.2135];20,15851;106;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;3;11;50words;1.0;[0.65994, 0.99568, 0.89246, 1.2386, 0.65608, 0.33847, 1.0293, 1.2135];19,913556;107;106;-345,6666667;-76,5314%;19,73811067;25,3810%
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;3;11;50words;1.0;[0.42319, 0.99568, 0.18637, 0.50658, 0.60983, 0.82483, 1.0293, 1.2135];19,066046;1048;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;3;11;50words;1.0;[0.42319, 1.1037, 0.89246, 0.78214, 0.65608, 0.60983, 1.0293, 1.2135];18,600026;1061;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;3;11;50words;1.0;[0.42319, 0.65994, 0.87865, 0.89246, 0.65608, 0.60983, 0.82483, 1.8066];19,067006;1065;1058;606,3333333;134,2435%;18,911026;20,1272%
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;3;11;50words;1.0;[1.2135];34,47911;8;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;3;11;50words;1.0;[1.2135];34,47911;8;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;3;11;50words;1.0;[1.2135];34,47911;8;8;-443,6666667;-98,2288%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;3;11;50words;1.0;[1.2135];34,47911;86;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;3;11;50words;1.0;[1.2135];34,47911;81;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;3;11;50words;1.0;[1.2135];34,47911;84;83,66666667;-368;-81,4760%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;874;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;872;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;872;872,6666667;421;93,2103%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;3;11;50words;1.0;[1.2135];34,47911;6;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;3;11;50words;1.0;[1.2135];34,47911;6;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;3;11;50words;1.0;[1.2135];34,47911;6;6;-445,6666667;-98,6716%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;3;11;50words;1.0;[1.2135];34,47911;68;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;3;11;50words;1.0;[1.2135];34,47911;71;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;3;11;50words;1.0;[1.2135];34,47911;67;68,66666667;-383;-84,7970%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;693;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;707;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;701;700,3333333;248,6666667;55,0554%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;3;11;50words;1.0;[1.2135];34,47911;5;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;3;11;50words;1.0;[1.2135];34,47911;5;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;3;11;50words;1.0;[1.2135];34,47911;5;5;-446,6666667;-98,8930%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;3;11;50words;1.0;[1.2135];34,47911;59;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;3;11;50words;1.0;[1.2135];34,47911;59;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;3;11;50words;1.0;[1.2135];34,47911;59;59;-392,6666667;-86,9373%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;613;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;598;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;612;607,6666667;156;34,5387%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;3;11;50words;1.0;[1.2135];34,47911;5;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;3;11;50words;1.0;[1.2135];34,47911;5;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;3;11;50words;1.0;[1.2135];34,47911;5;5;-446,6666667;-98,8930%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;3;11;50words;1.0;[1.2135];34,47911;53;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;3;11;50words;1.0;[1.2135];34,47911;54;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;3;11;50words;1.0;[1.2135];34,47911;55;54;-397,6666667;-88,0443%;34,47911;119,0192%
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;553;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;546;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;3;11;50words;1.0;[1.2135];34,47911;546;548,3333333;96,66666667;21,4022%;34,47911;119,0192%
