heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;28;50words;1.0;[-0.72084, -0.74642, -0.74642, -0.72084, -0.78713, -0.75111, -0.78907, -0.77102, -0.82374, -0.73203, -0.71632, 0.0084461, -0.83723, -0.70847, -0.71263, -0.13208, -0.8547, -0.11622, -0.8551, -0.70283, -0.84543, -0.70194, -0.70193, -0.70193, -0.70269, -0.81317, -0.82232, -0.69913];31,556846;154;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;28;50words;1.0;[-0.60734, -0.64944, -0.64944, -0.60734, -0.76646, -0.7386, -0.82374, -0.80158, -0.78907, -0.72476, -0.058749, -0.71263, -0.70847, -0.84646, -0.72014, -0.70349, -0.70283, -0.85325, -0.70598, -0.11622, -0.70244, -0.70375, -0.70193, -0.70244, -0.83603, -0.69138, -0.69138, -0.81317];30,552311;147;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;28;50words;1.0;[-0.64944, -0.77321, -0.68914, -0.74642, -0.77321, -0.7386, -0.73203, -0.73203, -0.78907, 0.092898, -0.71263, -0.84646, -0.82926, -0.83723, -0.72014, -0.8547, -0.70598, -0.11622, -0.70339, -0.70598, -0.70375, -0.85318, -0.70375, -0.70244, -0.83603, -0.69913, -0.81317, -0.83013];31,171978;165;155,3333333;-99395;-99,84%;31,09371167;10,07%;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;28;50words;1.0;[-0.77979, -0.75907, -0.78713, -0.76646, -0.76646, -0.81462, -0.74477, -0.74477, -0.73203, -0.73203, -0.72014, -0.02234, -0.84361, -0.71632, -0.71632, -0.11122, -0.85335, -0.85653, -0.70598, -0.70283, -0.70375, -0.84543, -0.70193, -0.70244, -0.0076166, -0.82232, -0.69138, -0.69488];31,614043;1868;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;28;50words;1.0;[-0.64944, -0.74642, -0.74642, -0.77321, -0.77979, -0.75111, -0.81462, -0.77102, 0.12754, -0.74477, -0.70663, -0.70847, -0.70663, 0.039155, -0.82926, -0.85325, -0.13208, -0.85653, -0.70339, -0.8551, -0.70244, -0.84543, -0.70193, -0.70269, -0.70269, -0.69913, -0.81317, -0.83013];32,104035;1526;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;28;50words;1.0;[-0.77979, -0.77321, -0.75907, -0.77321, -0.68914, -0.78907, -0.77102, -0.82374, -0.82374, -0.81462, -0.84646, -0.71632, -0.71263, -0.02234, -0.72014, -0.70283, -0.70519, -0.13208, -0.70283, -0.70519, -0.0076166, -0.70244, -0.70193, -0.70269, -0.83971, -0.81317, -0.69138, -0.69488];31,697388;2104;1832,666667;-97717,66667;-98,16%;31,80515533;12,59%;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;28;50words;1.0;[-0.64944, -0.60734, -0.72084, -0.77321, -0.78713, -0.80158, -0.80158, -0.75111, -0.75111, -0.75111, -0.72014, -0.70847, -0.84361, -0.02234, -0.82926, -0.85653, -0.092021, -0.70339, -0.70519, -0.85653, -0.70269, -0.70269, -0.70193, -0.84543, -0.851, -0.69488, -0.81317, -0.69913];31,167146;18047;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;28;50words;1.0;[-0.60734, -0.77979, -0.75907, -0.76646, -0.77321, -0.72476, -0.74477, -0.80158, -0.77102, -0.74477, -0.71263, -0.85046, -0.71632, -0.058749, -0.71632, -0.8551, -0.70598, -0.70598, -0.11622, -0.85335, -0.70269, -0.851, -0.83971, -0.70193, -0.70244, -0.83013, -0.83013, -0.69138];31,01847;17718;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;28;50words;1.0;[-0.72084, 0.278, -0.60734, -0.76646, -0.64944, -0.74477, -0.7386, -0.75111, -0.75111, -0.77102, -0.71632, -0.82926, -0.71263, -0.02234, -0.058749, -0.85653, -0.70598, -0.85653, -0.11122, -0.8551, -0.851, -0.70194, -0.0076166, -0.70193, -0.851, -0.83013, -0.69913, -0.69913];33,314494;13345;16370;-83180,33333;-83,56%;31,83337;12,69%;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;28;50words;1.0;[-0.60734, -0.77321, -0.74642, -0.75111, -0.74477, 0.16113, -0.73203, 0.092898, -0.82926, -0.71632, -0.84361, -0.70663, -0.70598, -0.70339, -0.70283, -0.70349, -0.85318, -0.84543, -0.70244, -0.83013, -0.82232, -0.69138];41,049217;106;;;;;;
